family,propulsion,mission,sweep,agent,seed,termination_reason_mode
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,4,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,5,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,6,timeout
electric,ion_next,mars_crew_fast,my_pilot_nuclear,sac,7,timeout
electric,hall_spt100,leo_geo_transfer,smoke,max_thrust,0,safety_violation
electric,hall_spt100,leo_geo_transfer,smoke,max_thrust,1,safety_violation
electric,hall_spt100,leo_geo_transfer,smoke,max_thrust,2,safety_violation
electric,hall_spt100,leo_geo_transfer,smoke,ppo,0,safety_violation
electric,hall_spt100,leo_geo_transfer,smoke,ppo,1,safety_violation
electric,hall_spt100,leo_geo_transfer,smoke,ppo,2,safety_violation
electric,hall_spt100,leo_geo_transfer,smoke,random,0,safety_violation
electric,hall_spt100,leo_geo_transfer,smoke,random,1,safety_violation
electric,hall_spt100,leo_geo_transfer,smoke,random,2,safety_violation
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,0,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,1,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,2,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,3,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,4,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,5,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,6,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,edelbaum,7,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,0,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,1,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,2,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,3,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,4,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,5,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,6,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,max_thrust,7,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,0,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,1,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,2,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,3,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,4,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,5,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,6,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,ppo,7,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,0,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,1,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,2,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,3,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,4,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,5,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,6,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,prograde,7,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,0,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,1,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,2,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,3,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,4,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,5,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,6,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,random,7,out_of_propellant
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,0,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,1,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,2,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,3,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,4,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,5,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,6,timeout
nuclear,nep_kilopower,leo_geo_transfer,my_pilot,sac,7,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,0,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,1,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,2,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,3,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,4,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,5,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,6,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,max_thrust,7,timeout
nuclear,nep_brayton,mars_crew_fast,my_pilot_nuclear,ppo,0,hardware_failure
