sweep,family,propulsion,mission,agent,seed,trip_time_days,wear_fraction,constraint_violations,termination_reason_mode,success_rate,status,source_file
my_pilot,electric,ion_next,leo_geo_transfer,ppo,7,365.0,0.124234375,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,sac,0,365.0,0.1241458333333333,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,sac,1,365.0,0.1223802083333333,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,sac,2,365.0,0.1255520833333333,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,sac,3,365.0,0.1260260416666666,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,sac,4,365.0,0.1226041666666666,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,sac,7,365.0,0.1242083333333333,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,sac,6,365.0,0.1232604166666666,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_next,leo_geo_transfer,sac,5,365.0,0.1270104166666666,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,random,0,365.0,0.2480583333333333,613.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,random,1,365.0,0.2484166666666666,489.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,random,2,365.0,0.2493249999999999,623.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,random,3,365.0,0.2490583333333333,678.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,random,4,365.0,0.2473416666666666,539.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,random,5,365.0,0.2516166666666666,621.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,random,6,365.0,0.2470166666666666,595.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,random,7,365.0,0.2462083333333333,672.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,max_thrust,0,365.0,0.2589666666666667,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,max_thrust,1,365.0,0.2572416666666666,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,max_thrust,2,365.0,0.260625,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,max_thrust,3,365.0,0.26215,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,max_thrust,4,365.0,0.25805,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,max_thrust,5,365.0,0.263575,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,max_thrust,6,365.0,0.2588833333333333,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,prograde,0,365.0,0.1849416666666666,3304.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,max_thrust,7,365.0,0.25915,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,prograde,1,365.0,0.1911833333333333,3420.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,prograde,2,365.0,0.1861166666666666,3333.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,prograde,3,365.0,0.1847416666666667,3321.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,prograde,4,365.0,0.1872166666666666,3361.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,prograde,5,365.0,0.1849416666666666,3275.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,prograde,6,365.0,0.18445,3302.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,prograde,7,365.0,0.1844583333333333,3300.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,edelbaum,0,365.0,0.1838083333333333,3308.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,edelbaum,1,365.0,0.1894666666666666,3311.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,edelbaum,2,365.0,0.18515,3314.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,edelbaum,3,365.0,0.1853416666666666,3307.25,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,edelbaum,4,365.0,0.187075,3295.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,edelbaum,5,365.0,0.1838416666666666,3281.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,edelbaum,6,365.0,0.1851833333333333,3330.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,edelbaum,7,365.0,0.18295,3296.75,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,ppo,0,365.0,0.2610333333333333,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,ppo,1,365.0,0.259025,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,ppo,3,365.0,0.263,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,ppo,2,365.0,0.261525,2.5,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,ppo,4,365.0,0.2588083333333333,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,ppo,6,365.0,0.26005,0.0,timeout,0.0,ok,results/my_pilot/results.csv
my_pilot,electric,ion_nstar,leo_geo_transfer,ppo,7,365.0,0.2604333333333333,0.0,timeout,0.0,ok,results/my_pilot/results.csv
